ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT1G01453	1.22	1.7	1.391	0.476	1	1
AT1G01470	57.28	76.43	1.334	0.416	0.229	0.784
AT1G01480	1.22	10.17	8.309	3.055	0.0435	0.306
AT1G01490	23.11	19.07	0.825	-0.277	0.656	1
AT1G01500	4.26	2.07	0.486	-1.042	0.576	1
AT1G01510	36.21	42.06	1.162	0.216	0.624	1
AT1G01520	0.63	1.83	2.888	1.53	0.741	1
AT1G01540	44.14	38.39	0.87	-0.202	0.669	1
AT1G01550	142.98	126.07	0.882	-0.182	0.514	1
AT1G01560	0	0.43	Inf	Inf	1	1
AT1G01570	1.77	3.48	1.966	0.976	0.721	1
AT1G01580	36.43	11.03	0.303	-1.724	0.0145	0.142
AT1G01590	0.63	0.85	1.342	0.424	1	1
AT1G01600	2.4	17.2	7.162	2.84	0.03	0.238
AT1G01610	47.58	89.24	1.876	0.907	0.0103	0.111
AT1G01620	945.73	285.02	0.301	-1.73	4.38E-21	1.42E-18
AT1G01630	42.55	43.94	1.033	0.046	0.953	1
AT1G01640	13.96	4.5	0.323	-1.632	0.0788	0.451
AT1G01650	63.76	50.46	0.791	-0.338	0.367	0.941
AT1G01660	6.16	2.32	0.376	-1.411	0.377	0.943
AT1G01670	3.67	0.43	0.116	-3.109	0.243	0.81
AT1G01680	0	0.37	Inf	Inf	1	1
AT1G01690	1.81	2.92	1.611	0.688	0.891	1
AT1G01695	1.86	0.73	0.395	-1.342	0.804	1
AT1G01710	9.83	14.07	1.431	0.517	0.58	1
AT1G01720	29.18	22.24	0.762	-0.392	0.474	0.999
AT1G01725	6.07	3.96	0.652	-0.617	0.685	1
AT1G01730	13.91	21.89	1.574	0.654	0.376	0.943
AT1G01740	3.72	6.95	1.871	0.904	0.51	1
AT1G01750	19.12	0	0	NA	3.48E-06	0.000148
AT1G01760	10.33	4.93	0.477	-1.068	0.295	0.871
AT1G01770	21.89	21.87	0.999	-0.001	1	1
AT1G01780	4.76	1.22	0.256	-1.966	0.368	0.942
AT1G01790	13.96	22.31	1.598	0.676	0.327	0.903
AT1G01800	56.65	38.53	0.68	-0.556	0.189	0.721
AT1G01810	0.63	1.28	2.012	1.009	0.981	1
AT1G01820	26.33	28.34	1.076	0.106	0.875	1
AT1G01830	23.29	22.25	0.955	-0.066	0.974	1
AT1G01840	2.45	1.16	0.473	-1.079	0.764	1
AT1G01860	6.07	1.22	0.201	-2.318	0.17	0.685
AT1G01880	4.17	6.58	1.579	0.659	0.678	1
AT1G01900	0.59	0.37	0.622	-0.685	1	1
AT1G01910	33.35	38.26	1.147	0.198	0.746	1
AT1G01920	4.17	19.86	4.764	2.252	0.0138	0.137
AT1G01930	16.45	14.56	0.885	-0.176	0.845	1
AT1G01940	14.32	13.17	0.92	-0.121	0.985	1
AT1G01950	35.17	48.49	1.379	0.464	0.298	0.876
AT1G01960	249.97	256.17	1.025	0.035	0.856	1
AT1G01970	4.94	4.75	0.962	-0.056	1	1
AT1G01990	7.12	8.3	1.166	0.222	0.939	1
AT1G02000	14.5	24.02	1.657	0.728	0.27	0.845
AT1G02010	4.31	2.62	0.61	-0.714	0.767	1
AT1G02020	1.81	5.05	2.785	1.477	0.604	1
AT1G02030	3.17	4.93	1.554	0.636	0.789	1
AT1G02050	3.04	7.19	2.367	1.243	0.402	0.962
AT1G02060	7.25	15.79	2.178	1.123	0.195	0.732
AT1G02080	198.81	274.5	1.381	0.465	0.0629	0.391
AT1G02090	12.28	22.54	1.836	0.876	0.208	0.749
AT1G02100	22.98	29.63	1.289	0.367	0.533	1
AT1G02110	14.14	12.13	0.858	-0.221	0.841	1
AT1G02120	34.4	28.94	0.841	-0.249	0.642	1
AT1G02130	21.98	14.27	0.649	-0.623	0.377	0.943
AT1G02140	46.99	44.25	0.942	-0.087	0.873	1
AT1G02145	11.28	6.16	0.546	-0.873	0.616	1
AT1G02150	26.92	36.66	1.362	0.446	0.531	1
AT1G02160	6.75	6.22	0.921	-0.119	1	1
AT1G02170	21.57	19.8	0.918	-0.123	0.892	1
AT1G02180	1.81	2.57	1.415	0.501	0.909	1
AT1G02205	0	0.43	Inf	Inf	1	1
AT1G02220	14.77	7.61	0.515	-0.956	0.266	0.839
AT1G02230	0.59	0	0	NA	0.932	1
AT1G02260	26.28	11.16	0.425	-1.236	0.0651	0.399
AT1G02270	7.98	13.35	1.673	0.743	0.419	0.97
AT1G02280	24.7	23.17	0.938	-0.092	0.928	1
AT1G02290	8.61	9.45	1.097	0.134	0.948	1
AT1G02300	17.31	5.91	0.341	-1.55	0.0711	0.424
AT1G02305	108.35	53.62	0.495	-1.015	0.00204	0.0324
AT1G02310	0.63	0	0	NA	0.932	1
AT1G02330	17.76	28.95	1.63	0.705	0.231	0.789
AT1G02335	10.42	2.68	0.257	-1.958	0.104	0.532
AT1G02340	3.58	2.8	0.783	-0.354	0.901	1
AT1G02350	1.18	0	0	NA	0.638	1
AT1G02360	29.82	16.23	0.544	-0.877	0.216	0.764
AT1G02370	8.43	18.23	2.163	1.113	0.169	0.684
AT1G02380	1.27	0.73	0.578	-0.792	1	1
AT1G02390	1.18	0	0	NA	0.638	1
AT1G02400	6.62	21.28	3.216	1.685	0.035	0.265
AT1G02410	8.47	11.95	1.41	0.496	0.612	1
AT1G02420	3.58	5	1.397	0.482	0.826	1
AT1G02430	4.31	0	0	NA	0.0787	0.451
AT1G02440	2.4	0	0	NA	0.281	0.854
AT1G02460	4.26	0.43	0.1	-3.323	0.174	0.691
AT1G02470	2.49	0	0	NA	0.276	0.849
AT1G02475	1.9	1.28	0.671	-0.576	0.957	1
AT1G02500	655.52	400.1	0.61	-0.712	0.000102	0.00288
AT1G02520	25.47	79.42	3.118	1.641	7.79E-05	0.00229
AT1G02530	7.3	22.25	3.049	1.609	0.0369	0.275
AT1G02560	35.76	28.28	0.791	-0.338	0.538	1
AT1G02570	0.59	0	0	NA	0.932	1
AT1G02575	1.22	0	0	NA	0.634	1
AT1G02580	1.86	1.28	0.687	-0.541	0.954	1
AT1G02610	9.02	2.8	0.311	-1.687	0.163	0.672
AT1G02640	83.7	22.97	0.274	-1.866	3.61E-06	0.000152
AT1G02650	0	1.22	Inf	Inf	0.727	1
AT1G02660	5.53	14.4	2.604	1.381	0.27	0.844
AT1G02670	2.4	2.8	1.166	0.222	1	1
AT1G02680	5.39	2.01	0.373	-1.424	0.379	0.943
AT1G02690	38.61	78.25	2.027	1.019	0.00766	0.0893
AT1G02720	4.89	2.07	0.423	-1.242	0.469	0.999
AT1G02730	57.87	141.5	2.445	1.29	3.37E-05	0.0011
AT1G02740	2.36	21.47	9.11	3.187	0.0122	0.125
AT1G02750	7.93	12.72	1.604	0.682	0.589	1
AT1G02780	408.45	558.42	1.367	0.451	0.0145	0.142
AT1G02810	14.18	17.06	1.203	0.266	0.745	1
AT1G02813	0.63	0	0	NA	0.932	1
AT1G02816	25.15	26.46	1.052	0.073	0.904	1
AT1G02830	0	0.43	Inf	Inf	1	1
AT1G02840	52.84	47.35	0.896	-0.158	0.729	1
AT1G02850	21.75	85.7	3.94	1.978	2.50E-06	0.000112
AT1G02860	29.18	33.83	1.159	0.213	0.689	1
AT1G02870	9.11	27.05	2.969	1.57	0.0255	0.212
AT1G02880	23.11	24.21	1.048	0.067	0.919	1
AT1G02890	115.83	149.88	1.294	0.372	0.167	0.682
AT1G02900	54.43	119.79	2.201	1.138	0.00122	0.0215
AT1G02910	7.34	7.44	1.013	0.018	1	1
AT1G02920	13.37	20.71	1.549	0.632	0.395	0.957
AT1G02930	11.74	14.73	1.255	0.328	0.798	1
AT1G02950	3.13	4.14	1.323	0.404	0.913	1
AT1G02960	14.64	10.85	0.741	-0.432	0.632	1
AT1G02970	2.99	8.65	2.893	1.533	0.255	0.824
AT1G02980	1.27	1.47	1.155	0.208	1	1
AT1G02990	25.65	35.77	1.395	0.48	0.36	0.935
AT1G03000	34.71	36.21	1.043	0.061	0.918	1
AT1G03010	7.43	9.45	1.271	0.346	0.768	1
AT1G03030	9.88	9.75	0.987	-0.019	1	1
AT1G03040	36.89	30.55	0.828	-0.272	0.644	1
AT1G03060	274.17	321.08	1.171	0.228	0.28	0.853
AT1G03080	354.84	249.3	0.703	-0.509	0.0138	0.137
AT1G03090	177.73	93.61	0.527	-0.925	0.000617	0.0127
AT1G03100	3.67	6.83	1.862	0.897	0.516	1
AT1G03110	5.66	36.45	6.434	2.686	8.44E-05	0.00246
AT1G03130	1.18	1.28	1.084	0.116	1	1
AT1G03140	55.7	65.5	1.176	0.234	0.544	1
AT1G03150	11.56	26.37	2.282	1.19	0.0808	0.457
AT1G03160	14.68	7.74	0.527	-0.923	0.3	0.877
AT1G03180	3.72	2.68	0.722	-0.47	0.902	1
AT1G03190	12.15	8.89	0.732	-0.45	0.608	1
AT1G03200	4.17	5.19	1.245	0.316	0.92	1
AT1G03210	27.42	13.82	0.504	-0.988	0.097	0.513
AT1G03220	465.64	232.82	0.5	-1	5.50E-07	2.89E-05
AT1G03230	149.37	85.13	0.57	-0.811	0.00389	0.0535
AT1G03240	1.22	2.26	1.845	0.884	0.831	1
AT1G03250	11.51	6.51	0.566	-0.821	0.376	0.943
AT1G03260	9.97	11.33	1.136	0.184	0.907	1
AT1G03270	0	6.4	Inf	Inf	0.0407	0.294
AT1G03280	18.99	23.38	1.231	0.3	0.686	1
AT1G03290	38.93	29.54	0.759	-0.398	0.392	0.953
AT1G03300	0.59	5.43	9.21	3.203	0.161	0.668
