ID 	mean_control	mean_IAA	Fold_Changes	logFC	p-value	FDR
AT5G16510	64.71	47.84	0.739	-0.436	0.264	0.838
AT5G16520	11.65	15.96	1.37	0.454	0.597	1
AT5G16540	6.66	0	0	NA	0.0149	0.145
AT5G16550	20.17	21.2	1.051	0.072	0.979	1
AT5G16560	6.12	6.89	1.127	0.172	0.933	1
AT5G16570	0.63	1.28	2.012	1.009	0.981	1
AT5G16590	84.29	29.26	0.347	-1.526	0.00119	0.0211
AT5G16600	6.62	1.95	0.295	-1.762	0.243	0.81
AT5G16610	12.87	25.84	2.008	1.006	0.122	0.581
AT5G16620	18.72	37.59	2.009	1.006	0.0706	0.422
AT5G16630	18.76	16.27	0.867	-0.206	0.767	1
AT5G16640	0	1.16	Inf	Inf	0.738	1
AT5G16650	10.6	10.24	0.965	-0.051	1	1
AT5G16660	16.99	15.37	0.904	-0.145	0.902	1
AT5G16680	78.72	100.91	1.282	0.358	0.265	0.838
AT5G16690	4.8	7.63	1.587	0.667	0.616	1
AT5G16710	9.38	11.4	1.215	0.281	0.773	1
AT5G16715	5.39	10.3	1.909	0.933	0.421	0.97
AT5G16720	23.7	34.27	1.446	0.532	0.358	0.935
AT5G16730	161.28	88.46	0.548	-0.866	0.00166	0.0275
AT5G16750	32.27	78.44	2.431	1.282	0.00127	0.0222
AT5G16760	37.21	41.08	1.104	0.143	0.772	1
AT5G16770	4.4	12.91	2.937	1.554	0.133	0.608
AT5G16780	58.96	68.01	1.154	0.206	0.6	1
AT5G16790	1.18	2.38	2.017	1.012	0.826	1
AT5G16800	13.91	13.28	0.954	-0.068	0.937	1
AT5G16810	7.25	2.68	0.37	-1.434	0.307	0.878
AT5G16820	12.92	15.71	1.216	0.283	0.768	1
AT5G16830	36.57	30.73	0.84	-0.251	0.643	1
AT5G16840	28.23	30.3	1.073	0.102	0.844	1
AT5G16850	1.77	1.89	1.07	0.098	1	1
AT5G16860	2.99	4.33	1.447	0.533	0.844	1
AT5G16870	1.18	4.44	3.772	1.915	0.409	0.967
AT5G16880	108.9	97.97	0.9	-0.153	0.604	1
AT5G16890	10.56	8.95	0.848	-0.239	0.851	1
AT5G16900	18.49	13.45	0.728	-0.459	0.53	1
AT5G16910	151.63	101.73	0.671	-0.576	0.0389	0.285
AT5G16920	0.63	0	0	NA	0.932	1
AT5G16930	7.93	27.06	3.412	1.771	0.0128	0.13
AT5G16940	10.29	4.46	0.433	-1.207	0.294	0.871
AT5G16950	6.16	7.61	1.235	0.305	0.859	1
AT5G16960	0.59	0	0	NA	0.932	1
AT5G16970	5.44	6.28	1.154	0.207	0.956	1
AT5G16980	4.21	5.49	1.302	0.38	0.871	1
AT5G16990	4.94	9.2	1.862	0.897	0.455	0.999
AT5G17000	16.04	18.69	1.165	0.22	0.84	1
AT5G17010	17.72	10.17	0.574	-0.801	0.275	0.849
AT5G17020	98.57	120.77	1.225	0.293	0.338	0.913
AT5G17030	2.36	0	0	NA	0.408	0.967
AT5G17040	11.51	4.5	0.391	-1.354	0.173	0.691
AT5G17050	56.47	13.04	0.231	-2.114	1.90E-05	0.000665
AT5G17060	7.34	11.88	1.618	0.695	0.492	1
AT5G17070	10.51	10.43	0.992	-0.012	1	1
AT5G17150	0.59	0	0	NA	0.932	1
AT5G17160	46.54	132.8	2.853	1.513	3.35E-06	0.000143
AT5G17165	0.59	0	0	NA	0.932	1
AT5G17170	0.63	0	0	NA	0.932	1
AT5G17190	39.74	19.7	0.496	-1.013	0.0565	0.363
AT5G17210	6.66	11.35	1.704	0.769	0.52	1
AT5G17230	38.84	13.23	0.341	-1.554	0.00543	0.0687
AT5G17240	7.43	3.9	0.525	-0.93	0.503	1
AT5G17250	10.24	7.92	0.773	-0.371	0.716	1
AT5G17260	0.59	1.47	2.488	1.315	0.864	1
AT5G17270	13.32	47.06	3.532	1.821	0.000785	0.0153
AT5G17280	16.72	14.8	0.885	-0.176	0.852	1
AT5G17290	17.18	16.75	0.975	-0.036	0.997	1
AT5G17300	28.69	11.64	0.406	-1.301	0.0415	0.297
AT5G17310	17.13	14.56	0.85	-0.234	0.783	1
AT5G17320	0	0.43	Inf	Inf	1	1
AT5G17330	330.68	245.22	0.742	-0.431	0.0405	0.293
AT5G17340	0	2.8	Inf	Inf	0.305	0.878
AT5G17350	1.22	16.82	13.749	3.781	0.0018	0.0292
AT5G17360	3.67	5.6	1.527	0.61	0.744	1
AT5G17370	3.67	7.93	2.161	1.112	0.409	0.967
AT5G17380	109.08	81.99	0.752	-0.412	0.187	0.717
AT5G17390	5.94	1.1	0.185	-2.433	0.369	0.942
AT5G17400	15.82	14.02	0.887	-0.174	0.863	1
AT5G17410	24.92	21.91	0.879	-0.186	0.889	1
AT5G17420	42.96	27.44	0.639	-0.647	0.269	0.842
AT5G17430	0.59	6.15	10.434	3.383	0.126	0.589
AT5G17440	23.84	32.96	1.383	0.467	0.404	0.964
AT5G17450	0	0.43	Inf	Inf	1	1
AT5G17460	10.92	7.81	0.716	-0.483	0.735	1
AT5G17490	7.43	9.27	1.247	0.319	0.773	1
AT5G17510	21.07	27.6	1.31	0.389	0.549	1
AT5G17520	5.44	3.72	0.685	-0.546	0.786	1
AT5G17523	3.53	0.73	0.207	-2.27	0.551	1
AT5G17530	28.78	18.92	0.657	-0.605	0.428	0.974
AT5G17550	6.66	14.92	2.239	1.163	0.218	0.768
AT5G17560	12.64	9.87	0.781	-0.357	0.686	1
AT5G17570	5.44	1.58	0.291	-1.779	0.3	0.876
AT5G17580	2.49	3.36	1.347	0.43	0.874	1
AT5G17590	1.22	0	0	NA	0.634	1
AT5G17600	6.66	10.85	1.629	0.704	0.503	1
AT5G17610	14.46	7.5	0.518	-0.948	0.265	0.838
AT5G17620	7.98	3.96	0.497	-1.01	0.426	0.972
AT5G17630	17.18	27.05	1.575	0.655	0.294	0.871
AT5G17640	44.37	17.73	0.4	-1.323	0.0088	0.0983
AT5G17650	7.93	7.01	0.884	-0.178	0.942	1
AT5G17660	0	2.44	Inf	Inf	0.377	0.943
AT5G17670	1.86	3.17	1.705	0.77	0.799	1
AT5G17680	9.7	5.67	0.585	-0.773	0.507	1
AT5G17690	24.79	24.01	0.969	-0.046	0.951	1
AT5G17700	0	0.37	Inf	Inf	1	1
AT5G17710	42.28	44.3	1.048	0.067	0.908	1
AT5G17760	11.69	32.89	2.813	1.492	0.0171	0.16
AT5G17770	121.99	123.6	1.013	0.019	0.99	1
AT5G17780	1.18	1.28	1.084	0.116	1	1
AT5G17790	11.65	13.58	1.166	0.222	0.846	1
AT5G17800	6.12	6.88	1.125	0.169	0.987	1
AT5G17810	3.58	9.75	2.724	1.446	0.24	0.808
AT5G17820	300.59	236.73	0.788	-0.345	0.112	0.555
AT5G17840	9.11	7.07	0.776	-0.366	0.763	1
AT5G17850	6.12	3.53	0.578	-0.791	0.607	1
AT5G17860	0	3.96	Inf	Inf	0.158	0.661
AT5G17870	19.26	10.55	0.548	-0.869	0.296	0.873
AT5G17880	15.86	12.38	0.78	-0.358	0.687	1
AT5G17890	42.05	59.18	1.407	0.493	0.227	0.781
AT5G17900	53.16	68.76	1.293	0.371	0.313	0.886
AT5G17910	118.37	110.48	0.933	-0.1	0.728	1
AT5G17920	1672.05	1176.33	0.704	-0.507	0.0239	0.204
AT5G17930	10.42	43.37	4.161	2.057	0.000446	0.00977
AT5G17980	4.85	10.18	2.099	1.07	0.347	0.922
AT5G17990	19.35	12.61	0.652	-0.617	0.38	0.943
AT5G18010	0	0.85	Inf	Inf	0.886	1
AT5G18030	0	0.85	Inf	Inf	0.886	1
AT5G18040	6.75	8.1	1.199	0.262	0.896	1
AT5G18060	0	0.85	Inf	Inf	0.886	1
AT5G18065	3.58	6.57	1.836	0.876	0.639	1
AT5G18070	22.66	15.97	0.705	-0.505	0.463	0.999
AT5G18080	0	0.85	Inf	Inf	0.886	1
AT5G18100	4.89	7.07	1.444	0.531	0.718	1
AT5G18110	53.34	44.97	0.843	-0.246	0.567	1
AT5G18120	25.79	30.89	1.198	0.261	0.649	1
AT5G18130	36.03	9.81	0.272	-1.876	0.00186	0.03
AT5G18140	5.03	7.25	1.441	0.527	0.708	1
AT5G18150	11.37	2.62	0.231	-2.116	0.195	0.733
AT5G18170	93.44	90.04	0.964	-0.054	0.944	1
AT5G18180	0	2.26	Inf	Inf	0.399	0.96
AT5G18190	62.49	61.95	0.991	-0.013	0.969	1
AT5G18200	19.21	14.2	0.739	-0.436	0.576	1
AT5G18210	6.12	7.19	1.175	0.232	0.924	1
AT5G18220	0.63	0	0	NA	0.932	1
AT5G18230	80.08	87.45	1.092	0.127	0.71	1
AT5G18240	4.35	0.43	0.098	-3.354	0.172	0.69
AT5G18250	4.98	6.82	1.368	0.452	0.772	1
AT5G18260	8.57	6.53	0.762	-0.392	0.787	1
AT5G18270	12.24	63.77	5.211	2.382	0.000392	0.00882
AT5G18280	28.55	30.36	1.063	0.089	0.894	1
AT5G18290	0.63	4.27	6.727	2.75	0.271	0.845
AT5G18300	0	0.79	Inf	Inf	0.896	1
AT5G18310	24.02	14.32	0.596	-0.746	0.253	0.819
AT5G18320	0	14.06	Inf	Inf	0.0496	0.336
AT5G18330	0	0.79	Inf	Inf	0.896	1
AT5G18340	2.49	0	0	NA	0.276	0.849
AT5G18350	1.27	1.16	0.913	-0.131	1	1
AT5G18360	10.42	9.62	0.923	-0.115	0.944	1
AT5G18362	3.72	2.92	0.786	-0.348	0.909	1
AT5G18370	20.94	16.21	0.774	-0.369	0.607	1
AT5G18380	486.08	649.57	1.336	0.418	0.0179	0.165
AT5G18390	6.71	7.2	1.073	0.102	0.972	1
AT5G18400	11.47	18.23	1.59	0.669	0.386	0.948
AT5G18410	42.55	38.47	0.904	-0.146	0.782	1
AT5G18420	27.19	31.33	1.152	0.204	0.742	1
AT5G18440	6.03	20.06	3.329	1.735	0.0361	0.271
AT5G18460	4.21	4.33	1.027	0.038	1	1
AT5G18470	2.45	11.33	4.628	2.21	0.0759	0.442
AT5G18475	9.61	1.89	0.197	-2.345	0.0999	0.521
AT5G18480	39.24	27.36	0.697	-0.521	0.292	0.869
AT5G18490	26.28	9.08	0.345	-1.534	0.0235	0.201
AT5G18500	42.42	37.83	0.892	-0.165	0.73	1
AT5G18520	33.72	35.17	1.043	0.061	0.97	1
AT5G18525	63.49	53.49	0.843	-0.247	0.509	1
AT5G18540	3.63	5.06	1.396	0.481	0.822	1
AT5G18550	6.8	9.99	1.47	0.555	0.625	1
AT5G18560	0.59	37.42	63.509	5.989	1.57E-08	1.16E-06
AT5G18570	2.45	10.65	4.352	2.122	0.174	0.691
AT5G18580	42.28	74.93	1.772	0.825	0.0329	0.255
AT5G18590	13.87	17.19	1.24	0.31	0.718	1
AT5G18600	0.63	0.37	0.578	-0.792	1	1
AT5G18610	38.57	32.36	0.839	-0.253	0.615	1
AT5G18620	53.88	99.98	1.855	0.892	0.00914	0.101
AT5G18630	29.82	22	0.738	-0.439	0.437	0.983
AT5G18636	0.59	0	0	NA	0.932	1
AT5G18640	20.26	9.56	0.472	-1.083	0.14	0.624
AT5G18650	51.16	31.38	0.613	-0.706	0.103	0.529
AT5G18660	1.81	1.53	0.841	-0.249	1	1
AT5G18670	118.6	81.16	0.684	-0.547	0.0663	0.403
AT5G18680	60.68	22.17	0.365	-1.453	0.000943	0.0176
AT5G18690	6.07	1.58	0.261	-1.939	0.235	0.796
AT5G18700	23.02	36.38	1.58	0.66	0.226	0.778
AT5G18710	0.63	0	0	NA	0.932	1
AT5G18720	0.59	2.13	3.612	1.853	0.74	1
AT5G18730	1.81	1.1	0.607	-0.721	0.944	1
AT5G18740	0.59	1.1	1.866	0.9	0.997	1
AT5G18750	10.42	19.26	1.848	0.886	0.241	0.809
AT5G18760	6.07	6.16	1.014	0.02	1	1
AT5G18770	4.31	8.71	2.024	1.017	0.413	0.97
AT5G18780	14.86	2.74	0.185	-2.438	0.022	0.192
AT5G18790	9.83	9.14	0.929	-0.106	0.972	1
AT5G18800	42.87	37.21	0.868	-0.204	0.644	1
AT5G18810	1.86	2.2	1.184	0.243	1	1
AT5G18820	4.8	7.44	1.548	0.63	0.664	1
AT5G18830	58.14	73.57	1.265	0.339	0.338	0.913
AT5G18840	5.39	4.52	0.837	-0.256	0.94	1
AT5G18850	9.02	6.16	0.683	-0.55	0.639	1
AT5G18860	228.9	96.03	0.42	-1.253	1.21E-06	5.92E-05
AT5G18890	3.81	2.68	0.705	-0.504	0.926	1
AT5G18900	33.54	50.24	1.498	0.583	0.274	0.849
AT5G18910	0	0.73	Inf	Inf	0.906	1
AT5G18920	3.76	3.11	0.827	-0.275	0.998	1
AT5G18930	4.8	1.47	0.305	-1.712	0.38	0.943
AT5G18940	14	11.09	0.792	-0.337	0.699	1
AT5G18950	7.98	9.58	1.201	0.264	0.813	1
AT5G18960	30.32	27.86	0.919	-0.122	0.86	1
AT5G18970	2.49	1.58	0.636	-0.654	0.893	1
AT5G18980	7.25	7.68	1.06	0.084	1	1
AT5G19000	24.15	18.95	0.785	-0.35	0.628	1
AT5G19010	85.38	43.21	0.506	-0.983	0.00664	0.0797
AT5G19020	4.35	6.64	1.527	0.611	0.669	1
AT5G19025	1.86	0.73	0.395	-1.342	0.804	1
AT5G19030	2.95	2.98	1.011	0.016	1	1
AT5G19040	20.8	28.9	1.39	0.475	0.391	0.953
AT5G19050	42.1	51.72	1.229	0.297	0.516	1
AT5G19060	1.27	3.4	2.683	1.424	0.72	1
AT5G19070	7.25	5.98	0.825	-0.278	0.908	1
AT5G19080	8.38	4.02	0.479	-1.061	0.389	0.952
AT5G19090	34.8	78.96	2.269	1.182	0.0171	0.16
AT5G19100	7.98	6.34	0.794	-0.332	0.818	1
AT5G19110	51.93	18.66	0.359	-1.477	0.00238	0.0365
AT5G19120	143.47	97.33	0.678	-0.56	0.0496	0.336
AT5G19130	25.02	19.02	0.76	-0.395	0.546	1
AT5G19140	15.73	14.8	0.941	-0.087	0.912	1
AT5G19150	12.96	16.83	1.299	0.377	0.621	1
AT5G19151	1.27	2.57	2.022	1.016	0.78	1
AT5G19160	2.45	5.06	2.068	1.048	0.565	1
AT5G19180	35.94	42.45	1.181	0.24	0.659	1
AT5G19190	4.94	2.07	0.419	-1.256	0.47	0.999
AT5G19200	2.45	5.18	2.116	1.081	0.559	1
AT5G19210	5.48	5.24	0.955	-0.066	1	1
AT5G19220	4.94	20	4.05	2.018	0.0208	0.184
AT5G19230	67.7	76.66	1.132	0.179	0.59	1
AT5G19240	4.35	1.22	0.28	-1.837	0.374	0.943
AT5G19250	9.24	2.93	0.317	-1.657	0.206	0.746
AT5G19260	1.27	5.78	4.556	2.188	0.318	0.89
AT5G19280	24.88	23.88	0.96	-0.059	0.922	1
AT5G19290	6.25	34.13	5.458	2.448	0.000351	0.00804
AT5G19300	1.81	13.05	7.2	2.848	0.02	0.179
AT5G19310	15.73	12.55	0.798	-0.325	0.687	1
AT5G19320	21.39	39.63	1.853	0.89	0.082	0.459
AT5G19330	103.73	81.21	0.783	-0.353	0.308	0.881
AT5G19340	30.45	22.45	0.737	-0.44	0.537	1
AT5G19350	27.73	37.48	1.351	0.434	0.383	0.946
AT5G19370	17.9	22.31	1.246	0.318	0.617	1
AT5G19380	10.51	6.47	0.615	-0.701	0.549	1
AT5G19390	44.86	35.03	0.781	-0.357	0.434	0.98
AT5G19400	114.25	144.06	1.261	0.335	0.283	0.857
AT5G19410	12.92	57.74	4.47	2.16	0.000846	0.0162
AT5G19420	25.74	61.02	2.371	1.245	0.0295	0.236
AT5G19430	4.21	15.36	3.644	1.865	0.0598	0.378
AT5G19440	58.14	88.69	1.525	0.609	0.0812	0.458
AT5G19450	80.62	57.47	0.713	-0.488	0.165	0.676
AT5G19460	8.52	4.02	0.472	-1.084	0.359	0.935
AT5G19473	0.59	0.37	0.622	-0.685	1	1
AT5G19480	6.89	8.95	1.299	0.378	0.809	1
AT5G19485	14.5	25.38	1.75	0.808	0.471	0.999
AT5G19490	0.63	3.48	5.478	2.454	0.383	0.946
AT5G19510	262.07	331.79	1.266	0.34	0.12	0.578
AT5G19520	217.93	116.55	0.535	-0.903	0.000366	0.00832
AT5G19530	58.28	53.82	0.924	-0.115	0.815	1
AT5G19540	14.46	16.21	1.121	0.165	0.9	1
AT5G19550	38.02	28.22	0.742	-0.43	0.405	0.965
AT5G19560	5.48	0.85	0.155	-2.688	0.15	0.645
AT5G19570	0.63	0.85	1.342	0.424	1	1
AT5G19590	36.84	29	0.787	-0.345	0.495	1
AT5G19600	1.81	2.55	1.409	0.494	0.995	1
AT5G19620	18.17	15.91	0.876	-0.192	0.822	1
AT5G19630	15.45	12.61	0.816	-0.293	0.756	1
AT5G19650	0	3.96	Inf	Inf	0.158	0.661
AT5G19660	32.45	24.99	0.77	-0.377	0.506	1
AT5G19670	9.83	8.65	0.88	-0.184	0.914	1
AT5G19680	23.84	37.37	1.568	0.649	0.203	0.744
AT5G19690	82.98	87.75	1.058	0.081	0.824	1
AT5G19730	8.02	0.37	0.046	-4.452	0.0204	0.182
AT5G19740	20.21	14.69	0.727	-0.46	0.542	1
AT5G19750	11.06	13.94	1.26	0.334	0.8	1
AT5G19760	208.73	155.46	0.745	-0.425	0.0776	0.448
AT5G19770	298.23	251.25	0.842	-0.247	0.248	0.815
AT5G19780	308.84	256.55	0.831	-0.268	0.201	0.742
AT5G19790	4.89	1.89	0.386	-1.372	0.469	0.999
AT5G19820	172.98	350.64	2.027	1.019	3.19E-06	0.000138
AT5G19830	0.63	4.52	7.118	2.832	0.242	0.809
AT5G19840	5.39	5.97	1.107	0.147	1	1
AT5G19850	5.53	1.95	0.353	-1.503	0.379	0.943
AT5G19855	4.4	4.81	1.095	0.13	1	1
AT5G19860	74.73	43.81	0.586	-0.77	0.177	0.698
AT5G19870	0.59	0	0	NA	0.932	1
AT5G19875	3.63	5.79	1.598	0.676	0.687	1
AT5G19890	0.59	7.73	13.123	3.714	0.0591	0.375
AT5G19900	28.32	46.52	1.642	0.716	0.119	0.576
AT5G19910	5.53	4.63	0.838	-0.255	0.946	1
AT5G19920	8.57	15.6	1.822	0.865	0.305	0.878
AT5G19930	20.71	13.29	0.642	-0.64	0.364	0.938
AT5G19940	27.73	7.07	0.255	-1.972	0.00496	0.0641
AT5G19950	13.37	9.02	0.675	-0.568	0.526	1
AT5G19960	3.08	13.36	4.335	2.116	0.0788	0.451
AT5G19970	4.21	1.22	0.289	-1.791	0.375	0.943
AT5G19980	27.37	19.38	0.708	-0.498	0.391	0.953
AT5G19990	71.28	93.77	1.315	0.396	0.243	0.81
AT5G20000	40.33	51.42	1.275	0.351	0.427	0.972
AT5G20010	131.33	295.05	2.247	1.168	6.51E-07	3.38E-05
AT5G20020	134.55	286.36	2.128	1.09	3.73E-06	0.000157
AT5G20030	7.98	3.4	0.427	-1.228	0.306	0.878
AT5G20040	9.83	26.09	2.653	1.408	0.0385	0.284
AT5G20045	0.59	4.33	7.344	2.877	0.27	0.844
AT5G20050	28.14	32.87	1.168	0.224	0.654	1
AT5G20060	27.82	24.93	0.896	-0.158	0.858	1
AT5G20070	33.76	18.35	0.543	-0.88	0.12	0.578
AT5G20080	30.95	34.74	1.123	0.167	0.766	1
AT5G20090	44.37	27.24	0.614	-0.704	0.131	0.602
AT5G20110	1.86	3.59	1.934	0.952	0.709	1
AT5G20120	8.52	13.91	1.633	0.708	0.579	1
AT5G20130	11.6	8.77	0.756	-0.403	0.678	1
AT5G20140	2.49	0.79	0.318	-1.654	0.625	1
AT5G20150	2.45	2.68	1.097	0.133	1	1
AT5G20160	19.71	105.05	5.329	2.414	2.15E-09	1.91E-07
AT5G20165	9.65	12.61	1.307	0.386	0.717	1
AT5G20170	17.18	15.78	0.919	-0.122	0.911	1
AT5G20180	12.24	21.49	1.756	0.813	0.33	0.906
AT5G20190	34.67	25.52	0.736	-0.442	0.375	0.943
AT5G20200	28.1	35.1	1.249	0.321	0.548	1
AT5G20220	3.04	2.92	0.962	-0.056	1	1
AT5G20230	1.77	5.36	3.03	1.599	0.463	0.999
AT5G20240	0	2.07	Inf	Inf	0.466	0.999
AT5G20250	1345.02	1003.09	0.746	-0.423	0.0979	0.516
AT5G20270	7.39	58.84	7.965	2.994	8.44E-06	0.000323
AT5G20280	54.24	35.89	0.662	-0.596	0.187	0.717
AT5G20290	372.42	635.3	1.706	0.77	2.87E-05	0.000965
AT5G20300	28.6	36.26	1.268	0.342	0.521	1
AT5G20320	30.54	50.09	1.64	0.714	0.118	0.572
AT5G20350	68.25	60.09	0.88	-0.184	0.625	1
AT5G20360	27.1	31.68	1.169	0.225	0.685	1
AT5G20380	7.98	8.59	1.078	0.108	0.974	1
AT5G20400	39.11	53.91	1.378	0.463	0.297	0.874
AT5G20410	0.63	0.73	1.155	0.208	1	1
AT5G20420	0.63	1.58	2.497	1.32	0.849	1
AT5G20450	2.54	3.78	1.491	0.576	0.794	1
AT5G20470	11.83	9.69	0.82	-0.287	0.847	1
AT5G20480	2.99	5.67	1.897	0.924	0.575	1
AT5G20490	175.65	151.17	0.861	-0.217	0.373	0.943
AT5G20500	76.45	68.2	0.892	-0.165	0.663	1
AT5G20510	5.39	7.5	1.39	0.475	0.766	1
AT5G20520	43.41	46.29	1.066	0.093	0.884	1
AT5G20540	4.98	7.99	1.603	0.681	0.562	1
AT5G20550	27.46	24.92	0.907	-0.14	0.821	1
AT5G20570	20.85	26.87	1.289	0.366	0.549	1
AT5G20580	10.33	9.37	0.907	-0.14	0.89	1
AT5G20590	10.38	23.4	2.254	1.173	0.101	0.524
AT5G20600	35.57	58.66	1.649	0.722	0.092	0.495
AT5G20610	70.29	88.74	1.262	0.336	0.311	0.883
AT5G20620	291.98	164.86	0.565	-0.825	0.000278	0.00667
AT5G20635	3.04	3.9	1.285	0.362	0.926	1
AT5G20640	1.77	1.89	1.07	0.098	1	1
AT5G20650	29.86	21.53	0.721	-0.472	0.434	0.98
AT5G20660	96.98	73.82	0.761	-0.394	0.245	0.811
AT5G20670	0.63	1.7	2.683	1.424	0.838	1
AT5G20680	31.86	27.9	0.876	-0.191	0.722	1
AT5G20700	239.37	121.71	0.508	-0.976	6.16E-05	0.00187
AT5G20710	2.45	0.43	0.174	-2.524	0.466	0.999
AT5G20720	36.66	79.77	2.176	1.122	0.00362	0.0506
AT5G20730	77.45	88.96	1.149	0.2	0.568	1
AT5G20790	1.18	0.43	0.361	-1.469	0.856	1
AT5G20810	0	0.79	Inf	Inf	0.896	1
AT5G20820	2.4	18.48	7.693	2.944	0.00421	0.0563
AT5G20830	36.3	84.75	2.335	1.223	0.0205	0.182
AT5G20840	44.77	44.78	1	0	1	1
AT5G20850	4.4	4.56	1.038	0.054	1	1
AT5G20860	1.22	11.03	9.014	3.172	0.0261	0.215
AT5G20870	1.81	0.85	0.47	-1.091	0.806	1
AT5G20885	20.21	15.66	0.775	-0.368	0.618	1
AT5G20890	111.75	214.2	1.917	0.939	0.000257	0.00624
AT5G20900	30.14	19.2	0.637	-0.65	0.27	0.844
AT5G20910	9.24	9.81	1.061	0.086	0.979	1
AT5G20920	37.61	60.91	1.619	0.695	0.116	0.568
AT5G20930	16.63	22.72	1.366	0.45	0.506	1
AT5G20940	1.77	0	0	NA	0.465	0.999
AT5G20950	106.63	118.14	1.108	0.148	0.601	1
AT5G20960	391.05	313.29	0.801	-0.32	0.106	0.539
AT5G20970	7.34	5.24	0.713	-0.487	0.711	1
AT5G20980	7.52	14.38	1.911	0.934	0.291	0.868
AT5G20990	42.51	29.32	0.69	-0.536	0.259	0.829
AT5G21010	24.43	21.65	0.886	-0.174	0.829	1
AT5G21020	121.54	74.38	0.612	-0.708	0.0188	0.17
AT5G21040	23.84	20.55	0.862	-0.214	0.777	1
AT5G21050	1.86	0.73	0.395	-1.342	0.804	1
AT5G21060	8.02	9.62	1.2	0.263	0.854	1
AT5G21070	12.78	9.75	0.763	-0.39	0.687	1
AT5G21080	2.36	0	0	NA	0.408	0.967
AT5G21090	85.92	96.28	1.121	0.164	0.602	1
AT5G21105	19.49	37.83	1.941	0.957	0.0812	0.458
AT5G21120	2.95	0.73	0.249	-2.007	0.601	1
AT5G21130	1.22	1.1	0.899	-0.154	1	1
AT5G21140	1.9	3.23	1.696	0.762	0.793	1
AT5G21160	59.82	157.68	2.636	1.398	3.01E-06	0.000131
AT5G21170	57.92	24.79	0.428	-1.224	0.00494	0.0639
AT5G21222	11.19	5.97	0.533	-0.907	0.397	0.959
AT5G21274	54.29	77.54	1.428	0.514	0.174	0.691
AT5G21280	12.55	10.47	0.834	-0.261	0.805	1
AT5G21326	25.2	28.27	1.122	0.166	0.801	1
AT5G21482	0.59	3.84	6.522	2.705	0.327	0.903
AT5G21900	3.63	3.72	1.027	0.039	1	1
AT5G21910	0.59	0.43	0.722	-0.469	1	1
AT5G21920	2.49	3.53	1.418	0.504	0.865	1
AT5G21930	22.7	19.79	0.872	-0.198	0.749	1
AT5G21940	357.19	277.41	0.777	-0.365	0.0809	0.457
AT5G21950	3.04	6.22	2.048	1.034	0.509	1
AT5G21970	5.48	9.81	1.789	0.839	0.462	0.999
AT5G21990	44.86	34.08	0.76	-0.397	0.413	0.97
AT5G22000	67.7	90.96	1.343	0.426	0.202	0.743
AT5G22010	18.17	34.13	1.878	0.909	0.11	0.549
AT5G22020	67.89	28.41	0.418	-1.257	0.211	0.753
AT5G22030	51.75	31.34	0.606	-0.724	0.179	0.702
AT5G22040	9.83	9.14	0.929	-0.106	0.972	1
AT5G22050	12.73	29.13	2.287	1.194	0.0621	0.387
AT5G22060	105.64	114.05	1.08	0.111	0.695	1
AT5G22070	25.6	23.89	0.933	-0.1	0.901	1
AT5G22080	45.63	54.21	1.188	0.249	0.594	1
AT5G22090	78.99	78.19	0.99	-0.015	1	1
AT5G22100	4.26	22.12	5.192	2.376	0.00597	0.0742
AT5G22110	3.53	5.97	1.689	0.756	0.683	1
AT5G22120	18.81	12.55	0.668	-0.583	0.422	0.97
AT5G22130	7.43	9.93	1.336	0.418	0.714	1
AT5G22140	9.06	15.42	1.701	0.766	0.386	0.948
AT5G22200	0.59	0	0	NA	0.932	1
AT5G22210	6.75	4.39	0.65	-0.623	0.663	1
AT5G22220	7.98	8.76	1.098	0.135	1	1
AT5G22250	1.86	2.38	1.279	0.355	1	1
AT5G22270	0	11.09	Inf	Inf	0.00288	0.0421
AT5G22280	20.89	15.29	0.732	-0.451	0.5	1
AT5G22290	4.26	10.53	2.473	1.306	0.267	0.841
AT5G22300	0	0.43	Inf	Inf	1	1
AT5G22310	4.85	5.3	1.092	0.127	1	1
AT5G22320	13.41	22.8	1.7	0.766	0.251	0.816
AT5G22330	10.79	40.96	3.798	1.925	0.00119	0.0211
AT5G22340	11.83	7.55	0.639	-0.647	0.556	1
AT5G22350	22.7	27.47	1.21	0.275	0.663	1
AT5G22355	15.73	12.61	0.802	-0.318	0.688	1
AT5G22360	40.24	33.94	0.843	-0.246	0.607	1
AT5G22370	10.83	13.47	1.243	0.314	0.778	1
AT5G22390	0	2.62	Inf	Inf	0.323	0.899
AT5G22400	33.67	17.43	0.518	-0.95	0.0876	0.479
AT5G22410	35.03	4.69	0.134	-2.9	2.89E-05	0.00097
AT5G22430	0	33.76	Inf	Inf	1.06E-08	8.25E-07
AT5G22440	136.41	152.22	1.116	0.158	0.574	1
AT5G22450	72.51	73.24	1.01	0.014	1	1
AT5G22480	12.78	32.17	2.517	1.332	0.0321	0.25
AT5G22500	8.38	27.23	3.247	1.699	0.0189	0.17
AT5G22510	27.28	30.83	1.13	0.176	0.794	1
AT5G22550	7.93	6.57	0.829	-0.271	0.821	1
AT5G22560	0.63	0	0	NA	0.932	1
AT5G22570	0.63	1.28	2.012	1.009	0.981	1
AT5G22608	2.99	6.7	2.241	1.164	0.455	0.999
