ID	logFC_0.5h	FDR_0.5h	logFC_1h	FDR_1h	logFC_2h	FDR_2h	logFC_4h	FDR_4h	logFC_8h	FDR_8h	logFC_12h	FDR_12h	logFC_24h	FDR_24h
AT1G02050	-0.159858297	0.798022484	0.016935094	0.993248391	0.098814767	0.885219462	0.094361333	0.773402041	0.452409437	0.207995942	0.037567125	0.916118695	-0.076135276	0.938486205
AT1G02060	-0.156595912	0.779969974	-0.098090719	0.922651331	0.299763764	0.512061028	0.16730377	0.329250155	0.194915642	0.233753592	0.087778943	0.709089341	-0.290347127	0.385410583
AT1G02070	-0.145243899	0.803983839	-0.098514108	0.877989095	0.138924136	0.500768923	0.012193914	0.960595297	0.033646701	0.841176154	0.004622101	0.985754434	0.09098782	0.729925681
AT1G02080	0.053754176	0.941977347	0.056857565	0.978195818	0.102708476	0.800453701	0.152426933	0.570000935	0.272928946	0.225134196	0.25815819	0.218984064	0.519219939	0.155851548
AT1G02090	-0.048412842	0.963400499	0.045433958	0.986008083	0.055540988	0.894929282	0.294821826	0.174299002	-0.036623244	0.882866507	0.20151084	0.278956187	0.038755015	0.943512432
AT1G02100	-0.142773405	0.82426686	-0.061553482	0.974958446	-0.065971958	0.859528701	-0.202613275	0.301550124	-0.170930462	0.443623684	-0.112984485	0.609417075	-0.206460458	0.59982303
AT1G02110	0.080243724	0.933498601	0.029413613	0.988061599	0.254042973	0.529482141	0.600106885	0.025865674	0.802251861	0.004464159	0.314843198	0.175307878	0.344643569	0.425235779
AT1G02120	0.00463076	0.997717509	0.105659608	0.954379982	0.028751486	0.953870393	0.233558221	0.33935721	0.25913386	0.297340176	0.013206878	0.958886985	0.243350651	0.48718392
AT1G02130	0.003139092	0.997717509	0.078657042	0.958012631	-0.158298644	0.648525206	-0.167891546	0.504074478	0.01231069	0.960831329	0.122108529	0.565326861	0.03709988	0.949096614
AT1G02140	-0.066981878	0.931926028	-0.119294287	0.930066563	-0.012198593	0.98172275	-0.013774001	0.957441127	0.020098957	0.930853631	0.056346116	0.748417794	-0.104449281	0.773216696
AT1G02150	-0.132760924	0.833127829	0.083085359	0.958012631	0.444348631	0.213580547	0.34056304	0.085057775	0.158840621	0.397899503	0.042922242	0.891340441	8.65E-05	0.999894582
AT1G02160	0.005760784	0.996384598	0.021753311	0.993248391	0.019075362	0.971746526	-0.18970197	0.491483057	-0.037086907	0.860636904	0.11606155	0.745149051	0.110352264	0.821377842
AT1G02170	-0.091717131	0.916881705	-0.161166729	0.918357634	-0.200941417	0.637842644	-0.238414557	0.312488609	-0.033882874	0.895313022	-0.323139812	0.150994861	-0.440205847	0.15387558
AT1G02180	0.002497474	0.997719648	-0.1222167	0.952867136	-0.009895528	0.986161678	-0.039702677	0.913880704	0.215001323	0.48340666	0.037319101	0.927493583	0.231681551	0.640426699
AT1G02190	0.1258921	0.813936743	-0.039112066	0.986008083	-0.078195093	0.8405425	-0.082464303	0.778612635	-0.225847339	0.506875748	-0.109948795	0.586113848	-0.258045476	0.490078338
AT1G02200	-0.10164238	0.874158045	-0.138108645	0.834437432	-0.117506287	0.799643613	-0.39697759	0.06369361	0.026429155	0.893175355	-0.139361026	0.495518235	-0.179183378	0.504143621
AT1G02205	0.207964451	0.727484134	0.053095237	0.977857238	-0.257784009	0.458516286	-0.440555421	0.097641926	-0.158943761	0.595578362	-0.429887324	0.265789016	-0.292649998	0.666783038
AT1G02220	-0.677642579	0.73729986	-1.724686043	0.724946591	-0.465013645	0.795850677	-0.312743507	0.720595634	-0.441353454	0.682529919	-0.83730429	0.608594158	0.104655845	0.967283918
AT1G02230	0.075712184	0.872761191	-0.201960003	0.774843787	0.062091529	0.840931702	-0.096445963	0.620651525	-0.035124919	0.837006729	-0.048779143	0.823541477	0.194341807	0.591141825
AT1G02250	0.13640263	0.7578407	0.179465188	0.810936841	-0.185435644	0.728443528	-0.030796031	0.880483418	0.135253936	0.548077255	-0.066133496	0.801940776	0.108921906	0.691675246
AT1G02260	0.04717275	0.967998514	0.244476643	0.797422589	-0.101038201	0.776392049	0.019465323	0.953414202	-0.041642256	0.87774479	-0.303329323	0.175240759	-0.23133757	0.564369891
AT1G02270	0.107753888	0.940429528	-0.407992604	0.720863553	-0.123169385	0.858546846	0.143735016	0.580095097	-0.133875789	0.518569817	0.010617354	0.969994077	-0.093351521	0.854165943
AT1G02280	-0.287001257	0.596139729	0.063417044	0.977959059	-0.082820245	0.851321793	0.121247256	0.654949444	0.802262794	0.003323041	0.520868174	0.032717617	-0.007972647	0.993002544
AT1G02300	-0.428288212	0.64200319	-0.275863197	0.893729261	-0.416704081	0.493715226	-1.025324704	0.007880211	-0.579591055	0.155765664	-0.533000941	0.29192991	0.094162191	0.940648212
AT1G02305	-0.15904854	0.849895843	-0.390129365	0.547948009	-0.693797099	0.209764743	-1.038104249	0.002671776	-0.560660199	0.116516659	-0.289299878	0.156446724	-0.173204229	0.661755403
AT1G02310	0.051658195	0.981616771	-1.240878678	0.73706396	-1.806216986	0.290871988	-2.203491833	0.000167804	-2.137344085	0.000183048	-2.173538078	0.000155434	-0.882776296	0.072614716
AT1G02320	-0.087348374	0.883936719	0.14678838	0.74041666	0.045678913	0.862918696	-0.027708762	0.883198804	-0.003007828	0.989249823	-0.010161472	0.957081561	0.01037395	0.971431207
AT1G02330	0.128333378	0.863539083	0.047708273	0.985958051	0.251294624	0.558788171	0.280145368	0.242763807	0.224606344	0.210328176	0.172916096	0.593088596	0.128847055	0.78088989
AT1G02340	-0.508326341	0.534064842	-0.517466502	0.510148478	-0.711905439	0.614211957	-1.220250975	0.002630365	-0.804791866	0.219421471	-0.976726662	0.005829747	-1.034724248	0.027292828
AT1G02360	0.300089432	0.748519426	0.000912683	0.999340396	-0.346032357	0.481876521	-0.520947584	0.037269458	-0.733104552	0.001987732	-0.505135534	0.123875036	-1.230345825	0.020942058
AT1G02370	0.047867062	0.967998514	0.102360115	0.959082836	0.437847367	0.323284183	0.200703868	0.481247786	-0.114592519	0.720595118	-0.511009283	0.063727138	-0.410627574	0.259637208
AT1G02390	0.607708824	0.360602622	-0.131973995	0.930874971	-0.390394803	0.486425221	-0.440798649	0.071793592	0.478582195	0.155119761	1.127732033	0.008964131	0.937223927	0.162264178
AT1G02400	1.481787984	0.142204289	1.103810956	0.538990454	1.093368695	0.426655056	1.897823379	0.000400875	1.835700234	1.45E-05	1.85073118	0.000142613	1.013551779	0.044573883
AT1G02410	-0.020237791	0.980512368	-0.292335467	0.755980307	-0.008327809	0.986625768	0.000195722	0.999592722	-0.248445856	0.310142537	-0.185753701	0.542059037	-0.176462047	0.627010721
AT1G02420	-0.035228923	0.969566198	0.138071354	0.932858394	0.02685877	0.96800401	-0.238174473	0.451954518	0.031082418	0.911619122	-0.071973081	0.881254341	-0.189663137	0.773964647
AT1G02430	0.122896659	0.916881705	0.02123515	0.996451614	0.178066995	0.85755263	0.299378928	0.573383178	0.067697572	0.860503962	0.206683154	0.707868439	-0.340698957	0.759618325
AT1G02450	0.110270799	0.814864786	-0.749658854	0.786779924	-0.337138218	0.264017351	-0.232821581	0.256931599	-0.388401244	0.124691106	-0.163187797	0.638063986	0.021854874	0.977738145
AT1G02460	0.324041159	0.66164935	0.263628527	0.830160475	-0.487403828	0.487555337	-0.462155002	0.106915013	-0.693490344	0.030011116	-0.206456159	0.642126367	-0.361728797	0.289131118
AT1G02470	0.16156381	0.840938081	-0.246116275	0.878553782	0.021000898	0.959280143	0.019873606	0.957441127	0.089347563	0.712056168	-0.163647071	0.635723834	0.35574352	0.431207915
AT1G02475	0.219458744	0.785113787	0.218506296	0.942797436	0.023590586	0.981276056	-0.200116314	0.564726184	-0.210749829	0.450292438	-0.150061367	0.536497867	0.081765276	0.917490064
AT1G02490	-0.10595958	0.852053878	0.015917969	0.99089996	-0.033679631	0.931369504	-0.088872029	0.758608201	0.248123184	0.184527281	0.041511047	0.883916531	0.085669741	0.845530848
AT1G02500	-0.004711575	0.997717509	-0.216916128	0.856431201	-0.412853149	0.303799995	-0.408502572	0.066673573	-0.432187163	0.037511234	-0.23549668	0.203118279	-0.416956863	0.064953583
AT1G02530	-1.107864165	0.284853354	-1.973450601	0.43554247	-0.26288178	0.8950174	-0.254147944	0.752028655	-0.694328007	0.462623636	-0.354023611	0.836157587	-0.949469304	0.431175895
AT1G02540	0.027346974	0.982547903	-0.055200119	0.954379982	-0.101859131	0.734129697	-0.088757935	0.697940345	-0.046073908	0.8330532	-0.05891473	0.832117386	-0.173456642	0.36780487
