"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT2G29995",676.096046345467,0.0148699066563349,0.214588568997489,0.0692949616366046,0.944754836130905,0.99529170030369
"AT5G23320",42.3313523674733,0.0265230592900335,0.383470023388392,0.0691659260759738,0.944857545182535,0.995352322214757
"AT3G04600",1278.16398887709,-0.00873952635757585,0.126630770141009,-0.0690158193608393,0.944977027494986,0.995384546654526
"AT4G37608",44.3553269161719,0.0295267078033382,0.427836436852762,0.0690140092333924,0.944978468332244,0.995384546654526
"AT1G48790",1478.2218653448,0.00969737082449976,0.140776817520276,0.0688847140837167,0.945081386008842,0.995397800844143
"AT2G16950",2699.12719548087,-0.00769043884298116,0.111568316600211,-0.0689303117348155,0.945045090619102,0.995397800844143
"AT1G05090",677.911187968249,0.00806283270177167,0.120569406686081,0.0668729566096679,0.946682842330966,0.995424441814178
"AT1G05833",5.17290026380392,-0.0636951371777265,0.94735527735407,-0.0672346887174417,0.946394869989642,0.995424441814178
"AT1G06037",5.83571148510834,-0.0568012050493715,0.846230023476638,-0.0671226539753463,0.946484059298841,0.995424441814178
"AT1G13870",313.886282177993,-0.010550275249384,0.158004416341706,-0.0667720276031245,0.946763192435115,0.995424441814178
"AT1G27400",6850.02403612773,0.00942907292688559,0.139056924545929,0.0678072879698364,0.945939042156714,0.995424441814178
"AT1G31280",301.476132371096,-0.0119613618768434,0.177826580491929,-0.0672641955086475,0.946371380152847,0.995424441814178
"AT1G35670",3212.98340294184,0.00793397129422237,0.117391461309287,0.0675855910279459,0.946115525864328,0.995424441814178
"AT1G51670",5.15017343016804,-0.0705781263531123,1.04891420137745,-0.0672868441102508,0.946353350031631,0.995424441814178
"AT2G02360",265.912928257521,-0.0112008313633668,0.164916895224261,-0.0679180344023302,0.945850882524586,0.995424441814178
"AT2G05518",27.7264587595821,0.0352667578417313,0.524575040463717,0.0672291952940728,0.94639924321238,0.995424441814178
"AT2G18710",655.441719779813,0.0147294160222063,0.216847986813953,0.0679250761725702,0.94584527694996,0.995424441814178
"AT2G18720",16.6485095310251,-0.0357519925703553,0.534724305886202,-0.0668606086852612,0.946692672548354,0.995424441814178
"AT2G24430",29.3812653281514,0.035202591560593,0.525499268784634,0.0669888497504648,0.946590579871071,0.995424441814178
"AT2G34560",3866.78685833594,-0.0108294943156616,0.160515234586472,-0.0674670808883725,0.946209867938776,0.995424441814178
