GeneID,trivial_name,aux_sens,intersection
AT2G44840,AP2EREBP_ERF13_colamp_a,TRUE,AT1G05850/AT1G28360/AT1G36060/AT1G73500/AT2G47520/AT3G04720/AT3G51430/AT3G55730/AT4G37580/AT4G38130/AT5G10520/AT5G10720/AT5G61590
AT2G31230,AP2EREBP_ERF15_col,FALSE,AT1G28160/AT1G28360/AT2G44840/AT2G47520/AT3G04720/AT3G15010/AT3G24500/AT3G51430/AT3G61630/AT4G17490/AT4G17490/AT4G32940/AT4G37580/AT4G38130/AT5G10520/AT5G10720/AT5G19790/AT5G61590/AT1G18570/AT1G28160/AT1G28360/AT1G28370/AT1G73500/AT1G74660/AT2G38120/AT2G44840/AT2G47520/AT3G04720/AT3G15010/AT3G15010/AT3G23150/AT3G24500/AT3G51430/AT3G61630/AT3G61630/AT4G17490/AT4G17490/AT4G32940/AT4G37580/AT4G38130/AT4G38130/AT5G07580/AT5G10520/AT5G10720/AT5G19790/AT5G47230/AT5G61590/AT5G61590
AT2G31230,AP2EREBP_ERF15_colamp_a,FALSE,AT1G18570/AT1G28160/AT1G28360/AT1G28370/AT1G73500/AT1G74660/AT2G38120/AT2G44840/AT2G47520/AT3G04720/AT3G15010/AT3G15010/AT3G23150/AT3G24500/AT3G51430/AT3G61630/AT3G61630/AT4G17490/AT4G17490/AT4G32940/AT4G37580/AT4G38130/AT4G38130/AT5G07580/AT5G10520/AT5G10720/AT5G19790/AT5G47230/AT5G61590/AT5G61590
AT5G47220,AP2EREBP_ERF2_col_a,TRUE,
AT1G50640,AP2EREBP_ERF3_col_a,FALSE,AT5G61590
AT2G35700,AP2EREBP_ERF38_col_a,FALSE,AT1G05850/AT1G05850/AT1G05850/AT1G28370/AT1G43160/AT2G19590/AT2G25820/AT3G50260/AT3G59060/AT3G61630/AT4G36900/AT5G61890/AT5G61890/AT5G67300
AT3G15210,AP2EREBP_ERF4_col_a,FALSE,AT2G47520/AT3G15010/AT3G24500/AT3G61630/AT4G17500/AT4G37580/AT4G38130/AT5G10720/AT5G61590
AT3G15210,AP2EREBP_ERF4_colamp_a,FALSE,AT1G28360/AT1G36060/AT2G47520/AT3G04580/AT3G15010/AT3G51430/AT3G61630/AT4G17500/AT4G37580/AT4G38130/AT5G10720/AT5G61590
AT5G47230,AP2EREBP_ERF5_col_a,TRUE,
AT3G20310,AP2EREBP_ERF7_col_a,TRUE,AT1G05850/AT1G73500/AT2G44940/AT2G47520/AT3G04720/AT3G15010/AT3G15010/AT3G51430/AT3G61630/AT4G17500/AT4G17500/AT4G32940/AT4G37580/AT5G10720/AT5G19790/AT5G53290/AT5G55620/AT5G61590
AT3G20310,AP2EREBP_ERF7_colamp_a,TRUE,AT2G47520/AT3G51430/AT4G37580/AT5G10720
AT1G53170,AP2EREBP_ERF8_col_a,FALSE,AT3G15010/AT3G24500/AT3G61630/AT4G37580/AT5G19790/AT5G61590
AT1G53170,AP2EREBP_ERF8_colamp_a,FALSE,AT1G36060/AT2G47520/AT4G37580/AT4G38130/AT5G10720/AT5G21120/AT5G65510
AT3G23220,AP2EREBP_ESE1_col_a,FALSE,
AT5G25190,AP2EREBP_ESE3_col_a,TRUE,AT1G05850/AT1G62300/AT3G16770/AT3G24500/AT5G19790/AT5G59430
AT5G25190,AP2EREBP_ESE3_colamp_a,TRUE,AT1G05850/AT3G16770/AT3G24500/AT5G61590
AT5G13910,AP2EREBP_LEP_col_a,TRUE,
AT5G10510,AP2EREBP_PLT3_col_a,TRUE,
AT5G18560,AP2EREBP_PUCHI_colamp_a,TRUE,AT1G43160/AT3G24500
AT1G46768,AP2EREBP_RAP21_col_a,FALSE,
AT5G52020,AP2EREBP_Rap210_col_a,TRUE,AT1G05850/AT1G05850/AT1G10480/AT1G28370/AT1G43160/AT1G44830/AT1G73500/AT1G74840/AT2G44940/AT2G47520/AT3G24500/AT3G50260/AT3G59060/AT3G61630/AT4G11280/AT4G23750/AT4G27440/AT4G36900/AT4G37770/AT4G37770/AT4G38130/AT5G44210/AT5G47230/AT5G53290/AT5G56080/AT5G56080/AT5G61890/AT5G67300/AT5G67300
AT5G52020,AP2EREBP_Rap210_colamp_a,TRUE,AT1G05850/AT1G28370/AT1G43160/AT1G73500/AT1G74840/AT4G11280/AT4G23750/AT4G37770/AT5G47230/AT5G67300
AT5G19790,AP2EREBP_RAP211_col_a,TRUE,
AT5G19790,AP2EREBP_RAP211_colamp_a,TRUE,AT1G05010/AT1G18570/AT1G62300/AT1G73500/AT2G25820/AT2G31730/AT3G04720/AT3G04720/AT3G06490/AT3G24500/AT3G24500/AT3G61630/AT4G20380/AT4G38130/AT4G38130/AT4G38130/AT5G02840/AT5G60120/AT5G61590/AT5G65510
AT1G53910,AP2EREBP_RAP212_col_a,FALSE,AT1G18570/AT1G62300/AT2G47520/AT3G49700/AT4G32940/AT4G37580/AT5G04950/AT5G10720/AT5G19790/AT5G44210/AT5G61590
AT1G43160,AP2EREBP_RAP26_col_a,TRUE,AT2G41230/AT2G47520/AT3G24500/AT4G37580/AT5G61590
AT1G43160,AP2EREBP_RAP26_colamp_a,TRUE,AT1G36060/AT1G73500/AT2G47520/AT3G15010/AT3G51430/AT3G61630/AT4G37580/AT5G04950/AT5G10720
AT4G34410,AP2EREBP_RRTF1_col_a,FALSE,AT3G61630/AT4G17500/AT4G37580/AT5G04950/AT5G10720/AT5G61590
AT4G34410,AP2EREBP_RRTF1_colamp_a,FALSE,
AT5G25810,AP2EREBP_TINY_col_a,TRUE,AT1G05850/AT1G28370/AT1G43160/AT1G43160/AT2G19590/AT3G61630/AT4G36900/AT5G61890/AT5G67300
